product_id,product_name
10_13,Store 10 Item 13
10_15,Store 10 Item 15
10_18,Store 10 Item 18
10_22,Store 10 Item 22
10_25,Store 10 Item 25
10_28,Store 10 Item 28
10_38,Store 10 Item 38
10_45,Store 10 Item 45
2_10,Store 2 Item 10
2_11,Store 2 Item 11
2_12,Store 2 Item 12
2_13,Store 2 Item 13
2_15,Store 2 Item 15
2_18,Store 2 Item 18
2_22,Store 2 Item 22
2_25,Store 2 Item 25
2_28,Store 2 Item 28
2_29,Store 2 Item 29
2_33,Store 2 Item 33
2_36,Store 2 Item 36
2_38,Store 2 Item 38
2_45,Store 2 Item 45
2_8,Store 2 Item 8
3_13,Store 3 Item 13
3_15,Store 3 Item 15
3_18,Store 3 Item 18
3_22,Store 3 Item 22
3_25,Store 3 Item 25
3_28,Store 3 Item 28
3_38,Store 3 Item 38
3_45,Store 3 Item 45
4_13,Store 4 Item 13
4_15,Store 4 Item 15
4_18,Store 4 Item 18
4_28,Store 4 Item 28
8_10,Store 8 Item 10
8_13,Store 8 Item 13
8_15,Store 8 Item 15
8_18,Store 8 Item 18
8_22,Store 8 Item 22
8_25,Store 8 Item 25
8_28,Store 8 Item 28
8_36,Store 8 Item 36
8_38,Store 8 Item 38
8_45,Store 8 Item 45
8_8,Store 8 Item 8
9_13,Store 9 Item 13
9_15,Store 9 Item 15
9_18,Store 9 Item 18
9_28,Store 9 Item 28
